2026-07-30 01:55:55 | INFO     | rag.embeddings | Loading embedding model: sentence-transformers/all-MiniLM-L6-v2
2026-07-30 01:56:29 | INFO     | rag.vector_database | No existing FAISS index found at E:\AI\Training\Project1\Sprint 4\Project 2\project\vector_store\faiss_index
2026-07-30 02:13:32 | ERROR    | agent.agent | Planning step failed: Error calling model 'gemini-1.5-pro' (INVALID_ARGUMENT): 400 INVALID_ARGUMENT. {'error': {'code': 400, 'message': 'API key not valid. Please pass a valid API key.', 'status': 'INVALID_ARGUMENT', 'details': [{'@type': 'type.googleapis.com/google.rpc.ErrorInfo', 'reason': 'API_KEY_INVALID', 'domain': 'googleapis.com', 'metadata': {'service': 'generativelanguage.googleapis.com'}}, {'@type': 'type.googleapis.com/google.rpc.LocalizedMessage', 'locale': 'en-US', 'message': 'API key not valid. Please pass a valid API key.'}]}}
2026-07-30 02:13:32 | WARNING  | rag.retriever | Vector store is empty; no documents to retrieve from.
2026-07-30 02:13:33 | ERROR    | agent.agent | Answer generation failed: Error calling model 'gemini-1.5-pro' (INVALID_ARGUMENT): 400 INVALID_ARGUMENT. {'error': {'code': 400, 'message': 'API key not valid. Please pass a valid API key.', 'status': 'INVALID_ARGUMENT', 'details': [{'@type': 'type.googleapis.com/google.rpc.ErrorInfo', 'reason': 'API_KEY_INVALID', 'domain': 'googleapis.com', 'metadata': {'service': 'generativelanguage.googleapis.com'}}, {'@type': 'type.googleapis.com/google.rpc.LocalizedMessage', 'locale': 'en-US', 'message': 'API key not valid. Please pass a valid API key.'}]}}
2026-07-30 02:13:49 | ERROR    | agent.agent | Planning step failed: Error calling model 'gemini-1.5-pro' (INVALID_ARGUMENT): 400 INVALID_ARGUMENT. {'error': {'code': 400, 'message': 'API key not valid. Please pass a valid API key.', 'status': 'INVALID_ARGUMENT', 'details': [{'@type': 'type.googleapis.com/google.rpc.ErrorInfo', 'reason': 'API_KEY_INVALID', 'domain': 'googleapis.com', 'metadata': {'service': 'generativelanguage.googleapis.com'}}, {'@type': 'type.googleapis.com/google.rpc.LocalizedMessage', 'locale': 'en-US', 'message': 'API key not valid. Please pass a valid API key.'}]}}
2026-07-30 02:13:49 | WARNING  | rag.retriever | Vector store is empty; no documents to retrieve from.
2026-07-30 02:13:49 | ERROR    | agent.agent | Answer generation failed: Error calling model 'gemini-1.5-pro' (INVALID_ARGUMENT): 400 INVALID_ARGUMENT. {'error': {'code': 400, 'message': 'API key not valid. Please pass a valid API key.', 'status': 'INVALID_ARGUMENT', 'details': [{'@type': 'type.googleapis.com/google.rpc.ErrorInfo', 'reason': 'API_KEY_INVALID', 'domain': 'googleapis.com', 'metadata': {'service': 'generativelanguage.googleapis.com'}}, {'@type': 'type.googleapis.com/google.rpc.LocalizedMessage', 'locale': 'en-US', 'message': 'API key not valid. Please pass a valid API key.'}]}}
2026-07-30 02:14:54 | INFO     | rag.chunking | Created 10406 chunks from 10 documents.
2026-07-30 02:14:54 | INFO     | rag.vector_database | Building FAISS index from 10406 chunks.
2026-07-30 02:19:38 | INFO     | rag.vector_database | FAISS index saved to E:\AI\Training\Project1\Sprint 4\Project 2\project\vector_store\faiss_index
